category,events,points,tname,tid,tc,tbc,tbd,name,flag,zwid,podiums,upgrades
A,1,+00:46.6,TFC,10,111111,f3f300,111111,Vincent O&rsquo;Leary (TFC),ie,1350525,,0
A,1,+00:46.9,Walsall Lads,2570,ffffff,0073b7,ffffff,David Whitehouse (WRCC),gb,550451,,0
A,1,+00:48.2,,0,00dd00,,,Christoph Meier,de,447127,,0
A,1,+00:51.8,Vixen/Fox,1940,7409a6,f79d4b,ffffff,Ian Freeman (VFox) &#129418;,gb,218226,,0
A,1,+00:53.6,BZR cycling team,35,f3f300,111111,dd4b39,Dennis Van Riel,be,1432591,,0
A,1,+00:54.1,,0,00dd00,,,George Tidmarsh,gb,682974,,0
A,1,+00:56.0,DIRT,2707,29ec34,563c0f,df6a0d,Nick Glasenapp,us,1367809,,0
A,1,+00:56.5,100miles,4185,000000,ffff00,009900,Macchoi @100miles,jp,1187875,,0
A,1,+01:02.5,BRT,4,ffffff,050505,ff8100,Grahame Mckenzie[BRT]&#128304;,gb,77990,,0
A,1,+01:07.3,,0,00dd00,,,Zee Kryder,ch,195262,,0
A,1,+01:09.8,VCRT,5032,fccb5a,2d009e,f521f5,Spencer Tapia [VCRT],mx,536907,,0
A,1,+01:13.9,KIRCHMAIR e-Cycling,2991,210606,f2e80d,000103,a.lex (KC) &#128304;,de,458147,,0
A,1,+01:13.9,,0,00dd00,,,Ha Ra ,jp,511814,,0
A,1,+01:16.4,,0,00dd00,,,etsuo ichihara,jp,148643,,0
A,1,+01:29.2,TFC,10,111111,f3f300,111111,Tommy Sellars,gb,1387591,,0
B,1,00:06:47.1,Blarney CC,4612,f5eeee,e61313,241818,Michael Considine,ie,787676,,0
B,1,+00:05.3,Groove SES,3003,ffffff,0073b7,ffffff,Kevin Selker,mx,696782,,0
B,1,+00:05.8,DIRT,2707,29ec34,563c0f,df6a0d,Sebastian &#129302; [DIRT BC],de,784914,,0
B,1,+00:11.5,teamWKG,1330,fa5e06,3f4c54,3f4c54,GORDON JACKSON (WKG  TORTURE )  (LB) ,gb,19671,,0
B,1,+00:13.6,,0,00dd00,,,John Pitton #RideFanatik,us,708225,,0
B,1,+00:17.4,BRT,4,ffffff,050505,ff8100,Stuart Hardy &#128034; [BRT],gb,591535,,0
B,1,+00:18.1,RuhrRiders,41,ff8700,000000,5cb0fc,Jens Reichardt (R2),de,174941,,0
